Korean,English
잃다,"mineral water, natural water, bottled water"
잃어요,"mineral water, natural water, bottled water"
잃었어요,"mineral water, natural water, bottled water"
잃을 거예요,"mineral water, natural water, bottled water"
임금,24.0
임대료,rent
임무,"duty, task, mission, assignment"
임시,"temporary, tentative"
임신하다,"to be pregnant, become pregnant"
임학,forestry
입,"treatment, cure, remedy, therapy"
입다,"used car, secondhand car"
입력하다,"to enter, input, type"
입맛,"one's appetite, taste"
입수,obsession
입술,lips
입양하다,to adopt a child
입원하다,"to be hospitalized, enter a hospital"
입장권,admission ticket
입장료,admission fee
입찰,"bid, tender"
입체파,cubism
입학하다,"to enter a school, be admitted into a school"
있다,"to be, exist, have"
있어요,"to be, exist, have"
있었어요,"to be, exist, have"
있을 거예요,"to be, exist, have"
있을 수 있는,possible
잉글랜드,England
잊다,forget
잊어버리다,"scent, fragrance"
잎,"mind, heart, nature, personality"
자가용,uniform
자격증,"certificate, license"
자그레브,Zagreb
자극하다,"to stimulate, arouse, excite, irritate, provoke"
자금,"money, capital, funds"
자기소개,self-introduction
자꾸,"repeatedly, often, frequently"
자녀,"insult, abusive language, swear, profanity, curse"
자다,to sleep
자동,"to hunt, prey on"
자동의,automatic
자동차,car
자동판매기,vending machine
자라다,"to grow up, grow, be raised, mature"
자라요,"to grow up, grow, be raised, mature"
자랄 거예요,"to grow up, grow, be raised, mature"
자랐어요,"to grow up, grow, be raised, mature"
자랑거리,"something one is proud of, pride and joy"
자랑하다,to commute
자료,"materials, data"
자루,bag
자르다,cut
자리,"good feeling, favorable impression"
자매,sisters
자메이카,Jamaica
자면,when asleep
자면서,in one's sleep
자명한 이치,axiom
자물쇠,"lock, padlock, combination lock"
자물쇠를 채우다,lock
자발적,voluntary
자발적인,voluntary
자살,"suicide, kill oneself"
자상하다,crayon
자서전,autobiography
자석,magnet
자세,"determination, resolution, decision"
자세히,"closely, in detail"
자수하다,to turn oneself in
자식,"one's children, offspring, descendent"
자신,security
자신감,"confidence, self-confidence"
자연,nature
자연과학,natural science
자연수,natural number
자연스러울 거예요,to be natural
자연스러워요,to be natural
자연스러웠어요,to be natural
자연스럽다,to be natural
자연의,natural
자영업,"one's own business, self-employment"
자와 섬,Java
자요,to sleep
자유,"freedom, liberty"
자유로운,free
자유롭다,"mopping, wiping"
자유의 여신상,Statue of Liberty
자유주의,liberalism
자음,consonant
자장면,Chinese dish of noodles in black soybean paste
자전거,bicycle
자정,midnight
자존심,"self-respect, pride, self-esteem"
자주,"often, frequently"
자책하다,"to blame oneself, reproach oneself"
자체,"oneself, itself, being own"
자택,"nationality, citizenship"
자폐증,autism
작가,author
작곡가,composer
작년,last year
작다,to be small
작별,"farewell, parting"
작아요,to be small
작았어요,to be small
작업,celebration of a baby's first birthday
작업실,"workroom, studio"
작용,disposable
작은아버지,father's younger brother
작은어머니,the wife of father's younger brother
작은여우자리,Vulpecula
작을 거예요,to be small
작전,consumption
작정,"intention, decision, plan, resolution"
작품,skirt
잔,cup
잔돈,"nationality, citizenship"
잔디,"grass, lawn, turf"
잔디밭,"grass, lawn, plot of land where there is a lot of grass"
잔뜩,"youth detention center, juvenile hall"
잔소리하다,"to nag, scold,  nitpick"
잔지바르,Zanzibar
잔치,"party, feast, banquet"
잔혹하다,"to be cruel, heartless, ruthless, merciless"
잘,well
잘 거예요,to sleep
잘나다,"to be good, smart, distinguished"
잘려요,"to be fired, cut, kicked out, flunked out"
잘렸어요,"to be fired, cut, kicked out, flunked out"
잘리다,"to be fired, cut, kicked out, flunked out"
잘릴 거예요,"to be fired, cut, kicked out, flunked out"
잘못돼요,to go wrong
잘못됐어요,to go wrong
잘못되다,to go wrong
잘못될 거예요,to go wrong
잘못하다,to make a mistake
잘생겨요,"to look good, be handsome"
잘생겼어요,"to look good, be handsome"
잘생기다,"to look good, be handsome"
잘생길 거예요,"to look good, be handsome"
잘츠부르크,Salzburg
잠,"sleep, doze, nap"
잠기다,"to be submerged, locked, fastened"
잠깐,x
잠들 거예요,to fall asleep
잠들다,to fall asleep
잠들어요,to fall asleep
잠들었어요,to fall asleep
잠수하다,"to dive, go underwater"
잠시,"figures, calculation"
잠시의,brief
잠옷,"pajamas, nightclothes"
잡다,"to catch, to manage, take"
잡수셔요,eating show
잡수셨어요,eating show
잡수시다,eating show
잡수실 거예요,eating show
잡아요,"to catch, to manage, take"
잡았어요,"to catch, to manage, take"
잡을 거예요,"to catch, to manage, take"
잡지,"magazine, journal"
잡채,noodles with sauteed vegetables
잡혀요,to buy
잡혔어요,to buy
잡히다,to buy
잡힐 거예요,to buy
잤어요,to sleep
장,chapter
장갑,glove
장관,"the sky, the heavens"
장구,Korean double-headed drum
장군,"general, admiral"
장기간,"long term, a long time"
장난감,toy
장남,eldest son
장단점,"pros and cons, strengths and weaknesses"
장래,Daegu
장례식,funeral
장르,genre
장마,"rainy season, monsoon season, rainy spell"
장마철,the rainy season
장만하다,"to prepare, purchase, get something ready"
장면,"scene, scene in a movie"
장물,stolen goods
장미,rose
장바구니,shopping basket
장보기,the act of going to a market to buy or sell items
장보다,"to go to market, go grocery shopping"
장볼 거에요,"to go to the market, go grocery shopping"
장봐요,"to go to the market, go grocery shopping"
장봤어요,"to go to the market, go grocery shopping"
장부,"ledger, books, account"
장비,"equipment, gear"
장비하다,to waste
장사,toothpaste
장사하다,sell
장식,"certification, confirmation, accreditation"
장식하다,"to decorate, trim, adorn"
장점,"advantage, strength, strong point"
장치,equipment
장학금,scholarship
장화,boot
재,ash
재계,"to be well informed, know inside out, be full aware"
재난,"disaster, catastrophe, tragedy"
재떨이,ashtray
재래시장,traditional market
재료,"material, raw material, ingredient"
재물,"wealth, riches"
재미,fun
재미있어요,interesting
재벌,"conglomerate, extremely wealthy group"
재산,"property, fortune, wealth, asset"
재수하다,to cram to repeat a college entrance exam
재작년,"two years ago, the year before last"
재즈,jazz
재채기하다,to sneeze
재촉하다,x
재혼하다,"to remarry, marry again"
재활용,"recycling, reuse"
재활용품,recyclable materials
잼,jam
쟁반,tray
저,baby
저고리,Korean traditional jacket
저금통,"coin bank, piggy bank"
저기,over there
저기까지,to that extent
저녁,"evening, dinner"
저녁 식사,supper
저래요,to be like that
저랬어요,to be like that
저런,"that sort of, that kind of, that type of"
저럴 거예요,to be like that
저렇게,like that
저렇다,to be like that
저리,ginger
저번,"last time, the other day, the other time"
저작,writing
저장하다,"to store, preserve, save"
저절로,"by itself, automatically, naturally"
저쪽,"that side, over there, that place"
저항,"resistance, defiance"
적,"enemy, opponent, rival"
적다,to write down
적도,equator
적어요,to write down
적었어요,to write down
적용하다,"navel, belly button"
적은,low
적을 거예요,to write down
적응하다,"to adapt, adjust, acclimate, get used to"
전 남자친구,ex-boyfriend
전갈,scorpion
전골,beef with vegetables cooked in a casserole
전공하다,"to major in, specialize in"
전국,"the whole country, nationwide"
전기,"point of view, perspective"
전기 기타,electric guitar
전기 분해,electrolysis
전기밥솥,electric rice cooker
전기장,electric field
전기화학,electrochemistry
전날,December
전달하다,"to be allowed, permitted, be approved"
전략,"strategy, tactic"
전리층,ionosphere
전매특허,patent
전문가,"expert, specialist, professional"
전문적,"being specialized, professional"
전보,telegram
전봇대,telephone pole
전부,"victory, championship, taking first place, being a champion"
전사,warrior
전설,"kind, type, sort, category"
전송하다,"to send, transmit"
전시하다,"to exhibit, display"
전시회,"exhibition, show, display"
전에,"true value, real worth"
전원,x
전자공학,electronics
전자법,transliteration
전자의,electronic
전쟁,"stage, phase, step"
전쟁터,battlefield
전주,yesterday
전지레인지,microwave oven
전채,appetizer
전처,"one's former wife, ex-wife"
전체,wedding dress
전체적,"overall, general"
전통,"tradition, custom, heritage"
전통적,"traditional, conventional"
전하,Your Highness
전하다,"to be left behind, fall behind"
전학,act of transferring schools
전학생,transfer student
전학하다,"to change schools, transfer schools"
전해주다,standard language
전혀,x
전형적,"typical, classic"
전화기,telephone
전화번호,phone number
전화비,telephone bill
전화위복,blessing in disguise
전화하다,to make a call
전환,"intonation, accent"
절대,"absolutely, definitely, completely, never"
절대 영도,absolute zero
절망,"despair, hopelessness"
절박하다,"to be urgent, desperate"
절반,14.0
절정,zenith
절지동물,arthropod
젊다,"to be noble, rare, precious"
젊은이,"the youth, young person, young adult"
점,point
점검하다,destination
점심,"lunch, midday meal"
점원,"salesperson, clerk, shop assistant"
점자,braille
점점,"gradually, little by little, increasingly, more and more, less and less"
점차,"steadily, step by step, gradually, little by little"
점치다,"to divine, foretell, make a guess, forecast"
접근하다,money and valuables
접다,to fold
접속,"access, connection"
접수,"to remarry, marry again"
접시,"plate, dish"
접어요,to fold
접었어요,to fold
접을 거예요,to fold
접촉,"contact, touch, make contact with"
젓가락,self-introduction
정,"stage, phase, step"
정각,Chuncheon
정감,"feeling, emotion, sentiment"
정거장,pink
정기 간행물,periodical
정답,correct answer
정략,"political scheme, move, political strategy"
정류장,gray
정리,theorem
정리하다,"clam, shellfish"
정말,"traditional, conventional"
정문,x
정밀,"detailed, precise, exact"
정부,"stone, anniversary"
정비사,"mechanic, technician"
정상,"flood, deluge, torrent"
정상적인,normal
정서,x
정성,"sincerity, devotion"
정성껏,"with one's utmost sincerity or whole heart, with great care"
정수기,water purifier
정신,"to advise, suggest, recommend"
정열적,passionate
정오,ideology
정원,electronic
정의,definition
정지하다,"to stop, halt, come to a standstill, suspend"
정직하다,natives
정찬,dinner
정찰제,fixed-price system
정책,policy
정치,politics
정치적,political
정확하다,"to be exact, correct, accurate"
젖,milk
젖은,wet
제거하다,x
제공,"offer, provision, supply, provide"
제과점,"professional, pro"
제국,empire
제국주의,imperialism
제대로,"appropriately, properly, right"
제도사,drawer
제목,"title, name"
제발,"next door, neighboring house"
제법,"will, testament, dying wish"
제복,uniform
제비,swallow
제시간,"scheduled time, appropriate time"
제시하다,"be in full swing, earnest, full-scale, regular"
제안하다,"to propose, suggest"
제약,"incident, affair, event, case, accident"
제왕,"king, emperor"
제우스,Zeus
제일,"nutrition, nutrient, nourishment"
제자,"student, disciple, follow"
제자리,"the proper place, the original place, same place, square one, normal"
제주도,Jeju Island
제출하다,"to submit, hand in, present"
제품,"product, manufactured goods"
제한,"wreck, mess, bad shape"
조각,piece
조각칼자리,Caelum
조개,"clam, shellfish"
조교,"teaching assistant, research assistant"
조그마하다,x
조금,"a little, a bit, some"
조깅하다,to jog
조끼,vest
조류학,ornithology
조리법,"recipe, art of cooking"
조만간,"soon, shortly, before long"
조명하다,"to illuminate, highlight"
조미료,"seasoning, condiment"
조사,"kitchen appliances, utensils"
조선시대,the Joseon period
조수,tide
조심,"caution, beware of, careful"
조언,"advice, counsel, hint, tip"
조용하다,to be quiet
조용한,quiet
조용히,"silently, quietly, calmly"
조작,operation
조절하다,"to be quiet, dull, calm, empty, inactive"
조직,needle
조직학,histology
조치,political
조카,"nephew, niece"
족제비속,weasel
존경하다,"to respect, look up to, admire"
존댓말,"therefore, so"
존재론,ontology
존재하다,"to exist, be present"
존중하다,"to appreciate, respect"
졸 거예요,to doze
졸다,to doze
졸아요,to doze
졸았어요,to doze
졸업하다,to graduate
좁다,to be narrow
좁아요,to be narrow
좁았어요,to be narrow
좁은,narrow
좁을 거예요,to be narrow
종,bell
종교,"religion, faith"
종기,abscess
종달새,lark
종류,"kind, type, sort, category"
종업원,"waiter, waitress, employee, staff, worker"
종이,paper
종이접기,origami
종이컵,paper cup
종일,"all day long, whole day, throughout the day"
종종,"sometimes, now and the, often, more often than not"
좋다,"to be good, to like"
좋아하다,to like
좋은,nice
좌석,"skiing, skis"
좌측,one's left
좌회전하다,to turn left
죄,"crime, sin, blame, guilt"
죄목,"charge, name of a crime"
죄송하다,"to be sorry, feel guilty"
죄짓다,"inspector, examiner, auditor"
죄책감,"feeling of guilt, guilty conscience"
주간,weekend
주거,"residence, dwelling"
주교,bishop
주군,"one's master, king, lord"
주권,sovereignty
주급,New Year's cash gifts
주기율표,periodic table
주꾸미,short arm octopus
주님의 기도,Lord's Prayer
주다,to give
주동자,"leader, primary mover"
주름,"wrinkle, crease"
주말,weekend
주먹,bakery
주먹밥,rice balls
주목,"attention, notice"
주문하다,"to order, place an order"
주민,"resident, inhabitant"
주민등록증,resident registration card
주방,blouse
주변,"materials, data"
주부,"housewife, homemaker"
주사,historian
주선하다,"to arrange, set up, organize"
주세요,please give me
주소,"address, residence"
주스,juice
주식,bowling
주연,"main role, lead, star"
주요,to prevent
주위,coffee shop
주유소,gas station
주인,"owner, employer, landlord"
주인공,main character
주일,week
주장,x
주저하다,to hesitate
주전자,kettle
주정하다,to act in a drunken and disorderly way
주제,"subject, theme, topic"
주중,last year
주지사,governor
주차장,"parking lot, parking garage"
주차하다,to park
주택,"house, housing"
주화,coin
죽,uncle
죽다,to die
죽어요,to die
죽었어요,to die
죽은,dead
죽을 거예요,to die
죽음,death
죽이다,kill
준비물,"preparation material, supplies"
줄,to have something ahead
줄 거예요,to give
줄곧,"all the time, continually"
줄기,"oneself, itself, being own"
줄넘기하다,to jump rope
줄다,"to be fast, quick, early"
줄무늬,stripes
줄어들다,"fried food, fries"
줄어요,"to be fast, quick, early"
줄었어요,"to be fast, quick, early"
줄여요,"to reduce, decrease, cut back"
줄였어요,"to reduce, decrease, cut back"
줄이다,"to reduce, decrease, cut back"
줄일 거예요,"to reduce, decrease, cut back"
중간,diaper
중개인,"broker, agent, middleman"
중고차,"used car, secondhand car"
중고품,secondhand goods
중국어,chinese
중국집,Chinese restaurant
중단하다,"to suspend, discontinue, interrupt, put a stop to, cease"
중독,"advice, counsel, hint, tip"
중성미자,neutrino
중성자,neutron
중성자별,neutron star
중순,the middle ten days of a month
중심,"before I knew it, in no time, already, quickly, so soon"
중에서,"among, between"
중요성,"importance, significance"
중요시하다,"the proper place, the original place, same place, square one, normal"
중요하다,"to be important, significant"
중학교,middle school
중학생,middle school student
중합체,polymer
줘요,to give
줬어요,to give
쥐,rat
쥐다,"to grip, clench, grasp, hold, seize"
쥐어요,"to grip, clench, grasp, hold, seize"
쥐었어요,"to grip, clench, grasp, hold, seize"
쥘 거예요,"to grip, clench, grasp, hold, seize"
즉시,stripes
즐거움,"pleasure, joy, happiness"
즐겁게,"pleasantly, delightfully"
즐겁다,"being specialized, professional"
즐기다,petal
즐비하다,"to stand closely together, form a line, be aligned"
증거,"evidence, proof"
증기 기관,steam engine
증대하다,increase
증명하다,"to prove, verify, demonstrate, confirm"
증상,symptom
증세,highway
지각하다,to be late
지갑,wallet
지겹다,"to be tedious, boring, dull, sick of"
지구,Buddhism
지구 온난화,global warming
지구과학,earth science
지극히,historical site
지금,four days
지급하다,x
지나가다,to be busy
지나가요,to be busy
지나갈 거예요,to be busy
지나갔어요,to be busy
지나다,"to pass, go by"
지나요,"to pass, go by"
지나쳐요,"to be lucky, fortunate"
지나쳤어요,"to be lucky, fortunate"
지나치다,x
지나칠 거예요,"to be lucky, fortunate"
지난 해,last year
지난날,Bul Guk temple
지난달,last month
지난번,"last time, the other day"
지난주,last week
지날 거예요,"to pass, go by"
지났어요,"to pass, go by"
지녀요,"to keep, carry, have"
지녔어요,"to keep, carry, have"
지니다,"to keep, carry, have"
지닐 거예요,"to keep, carry, have"
지도,pig
지도자,leader
지도하다,"questionnaire, survey"
지독하다,"to enter, input, type"
지력,intelligence
지루하다,student ID
지리,geography
지문,"inn, motel"
지방,"to regard, consider, take into account"
지불하다,"to pay, make a payment"
지붕,roof
지브롤터 해협,Strait of Gibraltar
지속되다,"to last, continue, persist, maintain"
지시하다,x
지식,"knowledge, understanding, know-how"
지역,"area, region, district, zone"
지옥,"hell, nightmare"
지우개,"eraser, rubber"
지원자,cup
지지,support
지지난,"the day, week, month, etc. before last"
지진 해일,tsunami
지진학,seismology
지질학,geology
지출,the rainy season
지침,indicator
지켜보다,"to monitor, wait and see, observe"
지켜볼 거예요,"to monitor, wait and see, observe"
지켜봐요,"to monitor, wait and see, observe"
지켜봤어요,"to monitor, wait and see, observe"
지켜요,"soon, shortly, before long"
지켰어요,"soon, shortly, before long"
지키다,"soon, shortly, before long"
지킬 거예요,"soon, shortly, before long"
지팡이,"walking stick, cane, wand"
지폐,"paper money, bill"
지하,"airplane, plane"
지하도,"underpass, underground tunnel, subway"
지하철,underground train
지혜,"wisdom, wit"
직관,intuition
직사각형,rectangle
직업,"job, career"
직원,"employee, staff member"
직장,"workplace, job, office, company"
직전,"on the brink, verge, just before"
직행,clothes
직후,immediately after
진가,"true value, real worth"
진국,"reason, cause, excuse for"
진국이다,"to be very strong, very hardcore, superb, good shape"
진국이에요,"to be very strong, very hardcore, superb, good shape"
진급하다,passionate love
진기한,curious
진단,"diagnosis, examination"
진로,"course, direction, path, career"
진료소,clinic
진수성찬,"feast, lots of food, banquet"
진실돼요,"to be true, truthful, sincere, real"
진실됐어요,"to be true, truthful, sincere, real"
진실되다,"to be true, truthful, sincere, real"
진실될 거예요,"to be true, truthful, sincere, real"
진심으로,"sincerely, from one's heart"
진자,pendulum
진정하다,magic
진주,pearl
진주만,Pearl Harbor
진지하다,"to order, place an order"
진찰,massage
진행자,"presenter, host, MC"
진행하다,"to progress, proceed"
질기다,"to be tough, durable, persistent, tenacious"
질량,mass
질려요,"to get tired of, sick of"
질렸어요,"to get tired of, sick of"
질리다,"to get tired of, sick of"
질릴 거예요,"to get tired of, sick of"
질문,"question, query"
질병,"disease, illness"
질색하다,"to be valuable, important, precious"
질서,cold water
짐,"load, burden, baggage, cargo"
집,home
집게벌레,earwig
집단,humidity
집들이,housewarming party
집사람,"miss, young lady"
집안,"home, family, household"
집안일,marriage proposal
집주인,"house owner, landlord, landlady"
집중하다,to consider someone pretty and treat them as...
집집마다,"every house, from door to door"
집착,obsession
집합,set
집합론,set theory
징그럽다,"to be gross, nasty, disgusting, creepy"
짖다,"to bark, howl"
짚,straw
짜릿하다,"to be thrilling, exhilarating, exciting, electrifying"
짝사랑,"second half, latter part"
짧다,to be short
짧아요,to be short
짧았어요,to be short
짧은,short
짧은 웃옷,jacket
짧을 거예요,to be short
짬,"free time, spare moment"
짬뽕,Chinese spicy noodle soup
쪽,"description, portrayal, depiction"
쫓기다,x
쫓다,"to chase, pursue"
쫓아오다,"to follow, chase, come after"
쫓아요,"to chase, pursue"
쫓았어요,"to chase, pursue"
쫓을 거예요,"to chase, pursue"
찌개,stew
찌르다,"to pierce, stab"
찌를 거예요,"to pierce, stab"
찔러요,"to pierce, stab"
찔렀어요,"to pierce, stab"
찜질방,"Korean dry sauna, spa"
찢다,"to tear, rip"
찢어요,"to tear, rip"
찢었어요,"to tear, rip"
찢을 거예요,"to tear, rip"
차,school uniform
차가운,cold
차고,garage
차다,violin
차단하다,"to block, shut off, obstruct"
차라리,"quite well, frequently"
차례,"chorus, ensemble"
차례차례,"one by one, in turn"
차분하다,"to be calm, cool, relaxed"
차비,transportation fare
차세대,next generation
차여요,"to be dumped, get kicked"
차였어요,"to be dumped, get kicked"
차요,violin
차이,to adopt a child
차이다,"to be dumped, get kicked"
차이점,x
차일 거예요,"to be dumped, get kicked"
차지하다,"accounting, bookkeeping"
차편,transportation
착각하다,"to be under an illusion, delude oneself, mistake"
착수하다,"to start, launch, begin, get around to"
착하다,"to shudder, feel a chill, get goosebumps, be creeped out"
찬물,cold water
찬성,"approval, agreement, consent"
찰 거예요,violin
찰흙,clay
참가하다,to jog
참기름,sesame oil
참다,"by order of arrival, first come first serve"
참석하다,"to attend, be present"
참외,fruit similar to watermelon
참치,tuna
찻잔,teacup
찻집,teahouse
찼어요,violin
창,window
창고,"warehouse, storage"
창문,window
창밖,outside the window
창조하다,administrative office
창피하다,"to be ashamed, embarrassed, humiliated"
찾다,"locker, cabinet"
찾아내다,"to find out, discover, search successfully, locate, come up with"
찾아내요,"to find out, discover, search successfully, locate, come up with"
찾아낼 거예요,"to find out, discover, search successfully, locate, come up with"
찾아냈어요,"to find out, discover, search successfully, locate, come up with"
찾아보다,"to believe, trust"
찾아볼 거예요,"to believe, trust"
찾아봐요,"to believe, trust"
찾아봤어요,"to believe, trust"
찾아요,"locker, cabinet"
찾았어요,"locker, cabinet"
찾을 거예요,"locker, cabinet"
채권자,creditor
채널,channel
채무,debt
채소,seaweed soup
채식주의,vegetarianism
채점하다,"to grade, mark, score"
채찍,whip
책,book
책꽂이,bookshelf
책방,"agreement, agreeing"
책상,desk
책임이 있는,responsible
책임자,side dish
책임지다,"to take responsibility, responsible for"
책자,"booklet, brochure, pamphlet"
책장,sink
챙기다,x
처녀,virgin
처방전,prescription
처음,"heaven, paradise"
처제,younger sister of one's wife
척색동물,chordate
천국,"heaven, paradise"
천둥,thunder
천문대,observatory
천벌,divine punishment
천사,angel
천왕성,Uranus
천장,ceiling
천재,"diligently, passionately"
천천히,slowly
천체물리학,astrophysics
철,air conditioner
철갑 상어,sturgeon
철기 시대,Iron Age
철사,wire
철새,migratory bird
철의 장막,iron curtain
철저히,x
철학,philosophy
첫날,"the first day, opening day"
첫인상,one's first impression
첫째,"to be unusual, unique, interesting, very different"
청구서,"bill, invoice"
청년,"young man, young people, youth"
청년기,youth
청동,bronze
청동기 시대,Bronze Age
청바지,blue jeans
청색,blue
청소,cleaning
청소기,vacuum cleaner
청소년,"teenager, youth, adolescent"
청소하다,to clean
청순하다,x
청와대,"the Blue House, Korean presidential mansion"
청진기,stethoscope
청첩장,wedding invitation
청춘,one's youth
청혼하다,to propose marriage
체결하다,anecdote
체계,system
체력,physical strength
체육,"physical education, physical training, physical activity"
체육관,"illusion, fantasy"
체조,"tolerably, passably, somehow, such that it is"
체중,body weight
체코 공화국,Czech Republic
체코슬로바키아,Czechoslovakia
체포하다,to arrest
체험,"talkative person, chatty person"
체형,body type
체히,Bohemia
쳐다보다,"to be clear, clean, pure, fine"
쳐다볼 거예요,"to be clear, clean, pure, fine"
쳐다봐요,"to be clear, clean, pure, fine"
쳐다봤어요,"to be clear, clean, pure, fine"
쳐요,"to blend, mix, shuffle"
쳤어요,"to blend, mix, shuffle"
초,Insadong
초급,"to expand, extend, enlarge, broaden"
초기,"the early part of, the beginning, the early stages, early days"
초대장,"question, query"
초대하다,to invite
초등학교,elementary school
초등학생,elementary school student
초록색,green
초밥,sushi
초보,"early stage, novice level, first steps, the beginning"
초신성,supernova
초원,"grassland, meadow"
초음파,ultrasound
초인종,doorbell
초자연적인,weird
초점,focus
초조하다,"to be anxious, restless, impatient, nervous"
초청장,invitation
초청하다,to invite
초콜릿,chocolate
초콜릿 음료,chocolate
촌스러울 거예요,"to be old-fashioned, rustic, tacky, out-of-style, unsophisticated"
촌스러워요,"to be old-fashioned, rustic, tacky, out-of-style, unsophisticated"
촌스러웠어요,"to be old-fashioned, rustic, tacky, out-of-style, unsophisticated"
촌스럽다,"to be old-fashioned, rustic, tacky, out-of-style, unsophisticated"
촛불,candlelight
총,x
총검,bayonet
총동원하다,waiting person???
총명한,intelligent
총장,rubber shoes
총점,total score
촬영,"shooting, filming"
최고급,"highest grade, top class"
최고점,solstice
최대,x
최면술,hypnosis
최상,"the best, the top, finest, highest level"
최소,"the smalles, minimum"
최신,"the newest, the latest"
최악,the worst
최저,"lowest, minimum, bottom"
최종,x
최초,"street lamp, street light"
최후의,last
추가하다,"to resign, step down"
추다,to dance
추상적인,abstract
추석,"one side, one way, one part"
추신,P.S.
추워져요,"to become cold, cool down"
추워졌어요,"to become cold, cool down"
추워지다,"to become cold, cool down"
추워질 거예요,"to become cold, cool down"
추위,"cold air, cold weather"
추천,"recommend, recommendation"
추천서,letter of recommendation
추첨하다,to draw lots
추측하다,"to guess, suppose, speculate, assume, presume"
축,axis
축구,"cosmetics, makeup"
축소하다,"to reduce, cut down"
축의금,monetary gift
축제,"festival, carnival"
축척,scale
축하하다,congratulations
춘천,Chuncheon
출 거예요,to dance
출구,exit
출근하다,"to go to work, attend the office"
출발,start
출세하다,"to have great success in life, successful career"
출신,parcel delivery service
출연하다,"to appreciate, respect"
출입,x
출입구,gate
출장,"trash can, wastebasket, recycling bin"
출출하다,to be slightly hungry
출퇴근하다,to commute
출판사,"publishing company, publisher"
출판하다,to publish
춤,dance
춤 추다,"choir, chorus"
춤 출 거예요,"choir, chorus"
춤 춰요,"choir, chorus"
춤 췄어요,"choir, chorus"
춤을 추,dancing
춤을 추다,full
충격,exception
충고,x
충동,"impulse, urge, compulsion"
충분하다,"to be enough, sufficient"
충성,"loyalty, devotion, allegiance"
충전기,charger
충치,"cavity, decayed tooth"
춰요,to dance
췄어요,to dance
취득하다,community service activities
취미,hobby
취소하다,"to cancel, withdraw, revoke, take back"
취지,"purpose, meaning, point, object, intent"
취직하다,"to get a job, be hired"
취침,"going to bed, retiring"
취향,"to greet, welcome"
측지학,geodesy
층지다,to have layers
치과,"dentist, dental surgery, dentistry, dentist's office"
치다,"to blend, mix, shuffle"
치료,"treatment, cure, remedy, therapy"
치마,skirt
치사하다,to be boring
치약,toothpaste
치우다,"to tidy up, clean up, remove, clear away"
치울 거예요,"to tidy up, clean up, remove, clear away"
치워요,"to tidy up, clean up, remove, clear away"
치웠어요,"to tidy up, clean up, remove, clear away"
치즈,cheese
치킨,chicken
친구,friend
친근하다,"to be familiar, informal, friendly, close"
친목,friendship
친숙하다,to be familiar
친절한,kind
친척,"relatives, extended family"
친하다,"to be close, friendly, intimate with"
칠,2.0
칠 거예요,"to blend, mix, shuffle"
칠판,"blackboard, chalkboard"
칠하다,"to paint, coat, smear, powder, apply"
침,air conditioner
침대,bed
침묵,"silence, become silent, say nothing"
침술,acupuncture
침실,"bedroom, room for sleeping"
칫솔,toothbrush
칭찬하다,"to praise, compliment"
카드,card
카디프,Cardiff
카라치,Karachi
카레,curry
카르타고,Carthage
카메라,camera
카사블랑카,Casablanca
카세트,cassette player
카스트제,caste
카약,kayak
카탈루냐 지방,Catalonia
카토비체,Katowice
카페,phone number
칵테일,cocktail
칸,Cannes
칼,"one's mind, one's heart, inside one's heart, innermost thoughts"
칼국수,chopped noodles
칼날,blade of a knife
칼라브리아 주,Calabria
캄파니아 주,Campania
캐나다,Canada
캠퍼스,campus
캥거루,kangaroo
커다랄 거예요,"to be very big, huge, enormous"
커다랗다,"to be very big, huge, enormous"
커다래요,"to be very big, huge, enormous"
커다랬어요,"to be very big, huge, enormous"
커요,to be big
커지다,"to be relieved, rest easy, relax"
커튼,curtain
커피,coffee
커피숍,coffee shop
컬링,curling
컴퓨터,computer
컵,cup
컸어요,to be big
케이맨 제도,Cayman Islands
케이크,cake
케이프타운,Cape Town
케익,cake
케톤,ketone
켄타우로스,centaur
켜다,martial arts
켜요,martial arts
켜져있다,"to be lightened, be on"
켜져있어요,"to be lightened, be on"
켜져있었어요,"to be lightened, be on"
켜져있을 거예요,"to be lightened, be on"
켤 거예요,martial arts
켰어요,martial arts
코,police officer
코끼리,elephant
코너,"to stimulate, arouse, excite, irritate, provoke"
코드,chord
코르크,cork
코멘트,"comment, remark"
코미디,comedy
코볼,COBOL
코뿔소,rhinoceros
코소보,Kosovo
코코아,cocoa
코피,nosebleed
콘서트,concert
콘센트,"socket, electrical outlet"
콜라,cola
콤마,comma
콤비,"duo, pair"
콤플렉스,"inferiority complex, complex"
콧노래,humming
콧물,"snot, nasal mucus"
콩나물,bean sprouts
콩팥,kidney
쾌적하다,"to be pleasant, nice, comfortable"
쿠알라룸푸르,Kuala Lumpur
쿠폰,coupon
쿵,"with a thud, bang"
퀸즐랜드 주,Queensland
큐브,rubik's cube
크기,"size, volume"
크다,to be big
크레파스,crayon
크리스마스,Christmas
크리켓,cricket
크림 공화국,Crimea
큰길,main road
큰아들,one's eldest son
큰절,deep bow
큰형,boy's eldest brother
클 거예요,to be big
클라리넷,clarinet
클래스,"bedroom, room for sleeping"
클래식,boots
클러치,clutch
클럽,dishwashing
클릭하다,to click
키,to boil
키니네,quinine
키수,kiss
키우다,"hair, fur, pubic hair, feather, fluff"
