input,explanation,answer
暗藏玄机不作声(猜一字),提示：“玄机”指的是“鱼玄机”，扣“鱼”。“暗”“不作声”指的是“暗”笔画中的声“音”不要，去掉，剩下“日”。日+鱼=鲁。鱼玄机，女，晚唐诗人，长安(今陕西西安)人。初名鱼幼薇，字蕙兰。,鲁
挖去方砖补水泥(猜一字),提示：“方”理解为方格，形状为“口”。“水”理解为三点水“氵”；“补水泥”理解为“泥”字没有“氵”，剩下“尼”。尼+口=呢。,呢
妇女翻身(猜一字),提示：“妇女翻身”这件事最高兴，最欢喜的就是女子了，扣“喜女”，“喜”与“女”组成字“嬉”。喜+女=嬉。,嬉
十二点方到(猜一字),提示：“点”理解为“、”。“方”理解为方格，形状为“口”。“口”“、”与谜面中的“十二”组成字“国”。,国
左住二十天，右住一个月，观赏长流水，有起又有落(猜一字),提示：“二十天”即“二十日”，“二十”理解为两个“十”字，即“十十”。“水”理解为三点水“氵”。“氵”“十十日”与谜面中的“月”组成字“潮”。,潮
喝水就泻(猜一字),提示：“水”理解为三点水“氵”。“喝水就泻”理解为“泻”字的“氵”喝掉了，没有了，剩下“写”。泻-氵=写。,写
天上明月泻春色(猜一字),提示：“天上”理解为“天”字的上面部分，为“一”。“明月泻”理解为“明”字的“月”泻了，剩下“日”。“春”五行属“木”。日+一+木=查。,查
不出头后不成字(猜一字),提示：“不出头”理解为“不”字出头，变成字“木”。“木”与谜面中的第二个“不”组成字“杯”。不+木=杯。,杯
驷马难追(猜一字),提示：“驷马难追”的意思就是言出必行，扣“言出”二字，“言”指的是言字旁“讠”，“讠”与“出”组成字“诎”。讠+出=诎。,诎
用心一听是风声(猜一字),提示：“用心”理解为“用”字的中心部分，为“二丨”。“二丨”与谜面中的“一”组成字“丰”。“风声”理解为谜底与“风”读音相同，即谜底“丰”与“风”同音相扣。,丰
岁末年尾爱出头(猜一字),提示：“岁末”理解为“岁”字的末尾部分，为“夕”。“年尾”理解为“年”字的尾部。“爱出头”理解为“爱”字的头部“爫冖”。,舜
古稀之年停刊后(猜一字),提示：“古稀之年”是七十岁的代称，扣“七十”，“七”与“十”组成字“车”。“停刊后”指的是“刊”字笔画的后面部分停了，去掉，剩下“干”。干+车=轩。,轩
女生一白遮百丑(猜一字),提示：“一白遮百”理解为“百”字的“一白”被遮住了，没有了，解谜底时忽略这几个字。谜面中的“女”与“丑”组成字“妞”。女+丑=妞。,妞
老头早上到祁东(猜一字),提示：“老头”理解为“老”字的头部，为“土丿”。“早上”理解为“早”字的上面部分，为“日”。“祁东”理解为“祁”字的东面（右边部分），为“阝”。阝+土丿+日=都。,都
昨夜西楼帘半掩(猜一字),提示：“夜”说明是晚上，没有“日（太阳）”；“昨夜”理解为“昨”字没有“日”，剩下“乍”。“西楼”理解为“楼”字的西面部分（左边部分），为“木”。“帘半掩”理解为“帘”字的一半隐藏起来了，剩下“穴”。乍+木+穴=榨。,榨
行止千万端(猜一字),提示：“行止”指的是“行”字笔画的终止部分，为“丁”。“千万端”指的是“千”字笔画的开端，为“亻”。亻+丁=仃。,仃
一包点心(猜一字),提示：“点心”理解为“点”字的中心部分，为“口”。“口”与谜面中的“包”组成字“咆”。口+包=咆。,咆
话说全了再解释(猜一字),提示：“话说”指的是言语，扣“言”，“言”理解为言字旁“讠”。“全”明扣。,诠
人初见面一定小心(猜一字),提示：“人”明扣。“初见面”指的是“见面”二字笔画的初始部分，分别为“冂”“一丿”。“一”明扣。“小心”指的是“小”字笔画的中心部分，为“亅”。,顶
酒后关公独辞别(猜一字),提示：“酒后”指的是“酒”字笔画的后面部分，为“酉”。“独”字义为“一个”，扣“一”；“关公独辞别”指的是“关”字笔画中的“一”辞别，剩下“丷大”。丷+大+酉=奠。,奠
人人要吃马兰头(猜一字),提示：“人人”指的是个个，“个”与“个”组成字“竹”，“竹”理解为竹字头“⺮”。“马”明扣。,笃
史载一官员(猜一字),提示：谜面理解为“史”字载入“一”，变成“吏”字。,吏
听其声，出乎意料，观其貌，并非偶然(猜一字),提示：“听其声”理解为“其”与谜底“奇”读音相同。“奇”字义为“出人意料的”，与谜面中的“出乎意料”相扣。“观其貌，并非偶然”理解为不是偶数，是奇数，扣“奇”。,奇
人家帘幕垂(猜一字),提示：“户”字义为“人家”，与谜面中的“人家”相扣。“帘幕垂”指的是垂着的帘幕，形状为“非”。非+户=扉。,扉
人无信不立(猜一字),提示：“人”指的是单人旁（亻）。“人无信不立”指的是“信”字无“亻”，剩下字“言”。,言
秋前方到草原上(猜一字),提示：“秋前”指的是“秋”字笔画的前面部分，为“禾”。“方”理解为方格，形状为“口”。“草”理解为草字头“艹”。艹+口+禾=菌。,菌
风帆一片水连天(猜一字),提示：“风”的形状为“丿”。“帆”的形状为“口”。“一”明扣。“水”理解为三点水“氵”。氵+一+口+丿=泊。,泊
力求无后虑(猜一字),提示：“力”明扣。“无后虑”指的是“虑”字笔画的后面部分（心）无，去掉。,虏
萤火点点不见虫(猜一字),提示：“点点”理解为符号“、、”。“萤火点点不见虫”理解为“萤”字的“虫”不见了，剩下部分再与“火”组成字“荧”。,荧
千言万语(猜一字),提示：“千言万语”说明说的句子多，扣“句多”，“句”与“多”组成字“够”。,够
珍珠玛瑙，样样俱全(猜一字),提示：“珍珠玛瑙”四字笔画都具有的部分，为“王”。,王
楼台孤帆一声去(猜一字),提示：“楼”指的是楼房，形状为“且”。“帆”指的是张开帆的帆船，形状为“虫”。虫+且=蛆。“一声去”指的是谜底的读音与“去”谐音。,蛆
沿水漂来一叶舟(猜一字),提示：“水”理解为三点水“氵”。“沿水漂”理解为“沿”字的“氵”漂走了，剩下“几口”。“几口”与谜面中的“舟”组成字“船”。,船
后羿射下七个太阳(猜一字),提示：“日”字义为“太阳”，与谜面中的“太阳”相扣。天上一共有十个太阳（日），后羿射下七个太阳，还剩下三个太阳（日），扣“三日”，“三日”理解为三个“日”字，即“日日日”，组成字“晶”。日+日+日=晶。,晶
幕后文章不成文(猜一字),提示：“幕后”指的是“幕”字笔画的后面部分，为“巾”。“章”明扣。章+巾=幛。“不成文”指的是解谜的时候不要“文”字，即解谜的时候忽略掉。,幛
人生有离合，爱心永不变(猜一字),提示：“生有离合”理解为“生”字拆分分离开，变成“牛一”二字。“爱心”理解为“爱”字的中心部分，为“冖”。“牛一”“冖”与谜面中的“人”组成字“牵”。,牵
注册没有一点水分(猜一字),提示：“点”理解为“、”。“水”理解为三点水“氵”。“注册没有一点水分”理解为“注册”二字的“、氵”没有了，剩下“王册”，“王”与“册”组成字“珊”。王+册=珊。,珊
再有三日就是春(猜一字),提示：“再有三日就是春”说明“春”字的“三日”还没有到，剩下“人”。春-三-日=人。,人
仅仅少两人(猜一字),提示：“人”理解为单人旁“亻”；“两人”理解为两个“亻”，即“亻亻”。“仅仅少两人”理解为“仅仅”的“亻亻”少了，没有了，剩下“又又”，“又”与“又”组成字“双”。又+又=双。,双
唱了一日人欢聚(猜一字),提示：“唱了一日”理解为“唱”字了却了“日”，剩下“口日”。“口日”与谜面中的“人”欢聚，组成字“咽”。口日+人=咽。,咽
十口之间，有我一半(猜一字),提示：“我一半”理解为“我”字的一半，取“戈”。“戈”与谜面中的“十口”组成字“哉”。戈+十+口=哉。,哉
两人至异乡(猜一字),提示：“两人”理解为两个“人”字，即“人人”。“异乡”理解为“乡”字变异，调整笔画，变成字“纟”。纟+人+人=纵。,纵
手工课相碰(猜一字),提示：“手”理解为提手旁“扌”。“扌”与谜面中的“工”碰在一起，组成字“扛”。扌+工=扛。,扛
一起破门擒吕布(猜一字),提示：“一”明扣。“破门”指的是“门”字笔画打破，拆分变成“、冂”。“吕”明扣。,高
用心记下(猜一字),提示：“心”明扣。“记下”指的是“记”字笔画的下面部分（后面部分），为“己”。己+心=忌。,忌
同心却一直不用心(猜一字),提示：“同心”指的是“同”字笔画的中间部分，为“一口”。“一”明扣。“直”指的是竖直，形状为“丨”。“不用心”指的是“用”字笔画的中心部分不要，剩下“冂”。,周
欲言又止(猜一字),提示：“言”理解为言字旁“讠”。“欲言又止”理解为某人欲言又止，扣“人言”二字，“人”与“讠（言）”组成字“认”。讠+人=认。,认
