input,explanation,answer
American transporter hit in Los Angeles (5),' american transporter ' is the definition. (domesticated animal of the Americas) ' hit in los angeles ' is the wordplay. ' hit ' becomes ' lam ' (to 'lam' means to hit hard) . ' in ' means one lot of letters goes inside another. ' los angeles ' becomes ' la '. ' lam ' placed into ' la ' is ' LLAMA '.,llama
"Watch, say, brief spins (5)",' watch ' is the definition. (thesaurus) ' brief spins ' is the wordplay. ' brief ' becomes ' remit '  . ' spins ' shows that the letters should be reversed in order  . ' remit ' written backwards gives ' TIMER '. ' say ' acts as a link.,timer
"Instrument dismissed husband used to stab Welsh buccaneer (5,5)",' instrument ' is the definition. (mouth organ is a kind of instrument) ' dismissed husband used to stab welsh buccaneer ' is the wordplay. ' dismissed ' becomes ' out '  . ' husband ' becomes ' h '. ' used to stab ' is an insertion indicator (some letters stab a hole in a word) . ' welsh buccaneer ' becomes ' morgan ' (privateer Henry Morgan) . ' out '+' h '=' outh ' ' outh ' going within ' morgan ' is ' MOUTH-ORGAN '.,mouth organ
Channel without water we hear (6),' channel ' is the definition. (I know that strait is a type of channel) ' without water we hear ' is the wordplay. ' without water ' becomes ' straight ' (as in straight whisky) . ' we hear ' shows a homophone (sound like). ' straight ' sounds like ' STRAIT '.,strait
Smut in Springfield not unknown? (4),' smut ' is the definition. (thesaurus) ' springfield not unknown? ' is the wordplay. ' springfield ' becomes ' dusty '  . ' not ' suggests deleting specific letters. ' unknown? ' becomes ' y ' (algebra) . ' dusty ' with ' y ' taken away is ' DUST '. ' in ' acts as a link.,dust
Boy not getting up for a dance (10),' a dance ' is the definition. (charleston is a kind of dance) ' boy not getting up ' is the wordplay. ' boy ' becomes ' charles ' (**) . ' getting up ' says the letters should be written backwards. ' not ' in reverse letter order is ' ton '. ' charles '+' ton '=' CHARLESTON ' ' for ' is the link.,charleston
"Best to make a choice, one mother’s supporting (7)","' best ' is the definition. ('optimum' can be similar in meaning to 'best') ' make a choice one mother's supporting ' is the wordplay. ' make a choice ' becomes ' opt '  . ' one ' becomes ' i ' (Roman numeral) . ' mother ' becomes ' mum ' (mum is a kind of mother) . ' supporting ' says to put letters next to each other (in a down clue, some letters go below others) . ' opt '+' i '+' mum '=' OPTIMUM ' ' to ' is the link.",optimum
Lunatic earl in ultimately wild country (7),' country ' is the definition. (Ireland is an example) ' lunatic earl in ultimately wild ' is the wordplay. ' lunatic ' indicates anagramming the letters. ' ultimately ' says to take the final letters. The last letter of ' wil d ' is ' d '. ' earl '+' in '=' earlin ' ' earlin ' is an anagram of ' irelan '. ' irelan '+' d '=' IRELAND ',ireland
What egotist refers to repeatedly in behavioural trait (4),' behavioural trait ' is the definition.  ' what egotist refers to repeatedly ' is the wordplay. ' what egotist refers to ' becomes ' me '. ' repeatedly ' shows that letters should be duplicated. ' me ' duplicated is ' MEME '. ' in ' is the link.,meme
Posed wearing shiny material (5),' shiny material ' is the definition. ' posed wearing ' is the wordplay. ' posed ' becomes ' sat ' ('sit' can be a synonym of 'pose') . ' wearing ' becomes ' in ' (wear in (and 'in' is fashionable)) . ' sat '+' in '=' SATIN ',satin
Range and backing content of one voice (4),' range ' is the definition.  ' backing content of one voice ' is the wordplay. ' backing ' says the letters should be written backwards. ' content of ' indicates a hidden word. ' nevo ' is hidden within ' o ne vo ice '. ' nevo ' reversed gives ' OVEN '. ' and ' is the link.,oven
Bar set up in Benidorm (3),' bar ' is the definition.  ' set up in benidorm ' is the wordplay. ' set up ' says the letters should be written backwards. ' in ' indicates the answer is hidden within the clue. ' dor ' is hidden within ' beni dor m '. ' dor ' written backwards gives ' ROD '.,rod
Huge deficit beginning to accumulate in depression (8),' huge ' is the definition. ('colossal' can be a synonym of 'huge') ' deficit beginning to accumulate in depression ' is the wordplay. ' deficit ' becomes ' loss '  . ' beginning to ' says to take the initial letters. ' in ' is an insertion indicator. ' depression ' becomes ' col ' (geographical term for a low point) . The first letter of ' a ccumulate ' is ' a '. ' loss '+' a '=' lossa ' ' lossa ' inserted inside ' col ' is ' COLOSSAL '.,colossal
"Saw only deep space flicks (7,4,2)",' saw ' is the definition. ' only deep space flicks ' is the wordplay. ' flicks ' indicates anagramming the letters (to flick can mean to cause movement) . ' only '+' deep '+' space '=' onlydeepspace ' ' onlydeepspace ' anagrammed gives ' CLAPPED EYES ON '.,clapped eyes on
She means a lot to dad (3),' she ' is the definition. ' a lot to dad ' is the wordplay. ' a lot ' becomes ' m '. ' to ' says to put letters next to each other  . ' dad ' becomes ' pa ' ('pa' can be a synonym of 'dad') . ' m ' after ' pa ' is ' PAM '. ' means ' is the link.,pam
Italian agreement reversed by the French — in Ireland? (4),' ireland? ' is the definition. (Ireland is an example) ' italian agreement reversed by the french ' is the wordplay. ' italian agreement ' becomes ' si ' ('yes' in Italian) . ' reversed ' says the letters should be written backwards. ' by ' means one lot of letters go next to another. ' the french ' becomes ' le ' ('the' in French) . ' si ' back-to-front is ' is '. ' is '+' le '=' ISLE ' ' in ' acts as a link.,isle
A representative meeting before current measure (6),' current measure ' is the definition.  ' a representative meeting before ' is the wordplay. ' representative ' becomes ' mp '. ' meeting ' says to put letters next to each other. ' before ' becomes ' ere ' (usually literary) . ' a '+' mp '+' ere '=' AMPERE ',ampere
Bachelor imprisoned in a tower gets out (6),' out ' is the definition.  ' bachelor imprisoned in a tower ' is the wordplay. ' bachelor ' becomes ' b ' (abbreviation e.g. BA=Bachelor of Arts) . ' imprisoned in ' indicates putting letters inside. ' tower ' becomes ' loom ' ('loom' can be a synonym of 'tower') . ' a '+' loom '=' aloom ' ' b ' going into ' aloom ' is ' ABLOOM '. ' gets ' acts as a link.,abloom
Run! Carnivore's outside in sheep's clothing (6),' sheep's clothing ' is the definition. ' run carnivore's outside ' is the wordplay. ' run ' becomes ' flee '  . ' outside ' suggests removing the centre. ' c arnivor e ' with its centre taken out is ' ce '. ' flee '+' ce '=' FLEECE ' ' in ' is the link.,fleece
"Standing outside “The Goat’s Head,” Peter is worried (8)",' standing ' is the definition. (prestige is a kind of standing) ' outside the goat's head peter is worried ' is the wordplay. ' outside ' indicates putting letters inside. ' head ' says to take the initial letters. ' worried ' indicates anagramming the letters. The first letter of ' g oats ' is ' g '. ' peter '+' is '=' peteris ' ' peteris ' with letters rearranged gives ' prestie '. ' g ' going into ' prestie ' is ' PRESTIGE '.,prestige
"Western firm and new supplier of energy (4,4)",' supplier of energy ' is the definition. ' western firm and new ' is the wordplay. ' western ' becomes ' w '. ' new ' indicates anagramming the letters. ' firm '+' and '=' firmand ' ' firmand ' anagrammed gives ' indfarm '. ' w '+' indfarm '=' WIND FARM ',wind farm
Hotel inside western city a mile and six feet (9),"' six feet ' is the definition. (line of poetry consisting of six metric feet) ' hotel inside western city a mile ' is the wordplay. ' hotel ' becomes ' h ' (phonetic alphabet: alpha,  bravo, charlie etc.) . ' inside ' indicates putting letters inside. ' western city ' becomes ' exeter '. ' mile ' becomes ' m ' (common abbreviation) . ' a '+' m '=' am ' ' exeter ' going around ' am ' is ' exameter '. ' h '+' exameter '=' HEXAMETER ' ' and ' is the link.",hexameter
Challenging in a deft fashion (7),' challenging ' is the definition. ('defiant' can be similar in meaning to 'challenging') ' in a deft fashion ' is the wordplay. ' fashion ' indicates anagramming the letters. ' in '+' a '+' deft '=' inadeft ' ' inadeft ' is an anagram of ' DEFIANT '.,defiant
Worry about frayed hems and material (8),' material ' is the definition. (cashmere is a kind of material) ' worry about frayed hems ' is the wordplay. ' worry ' becomes ' care '  . ' about ' indicates putting letters inside. ' frayed ' is an anagram indicator. ' hems ' with letters rearranged gives ' shme '. ' care ' going around ' shme ' is ' CASHMERE '. ' and ' is the link.,cashmere
"Where to see scholars getting on train? (8,6)",' where to see scholars ' is the definition. ' getting on train? ' is the wordplay. ' getting on ' becomes ' boarding ' ('board' can be a synonym of 'get on') . ' train? ' becomes ' school ' (training is a kind of schooling) . ' boarding '+' school '=' BOARDING SCHOOL ',boarding school
"Oh no! River inlet's blocked (4,2)",' oh no ' is the definition. ' river inlet's blocked ' is the wordplay. ' river ' becomes ' dee ' (River Dee) . ' inlet ' becomes ' arm '  . ' blocked ' indicates putting letters inside (to block can mean to box in or contain) . ' dee ' placed around ' arm ' is ' DEAR ME '.,dear me
"Coming from the desert, Sarah, an eccentric (7)",' coming from the desert ' is the definition. ' Saharan ' can be an answer for ' desert ' (thesaurus) . I am not certain of the ' coming from the ' bit. ' sarah an eccentric ' is the wordplay. ' eccentric ' is an anagram indicator. ' sarah '+' an '=' sarahan ' ' sarahan ' anagrammed gives ' SAHARAN '.,saharan
Female attending a charity event (4),' charity event ' is the definition. ' female attending a ' is the wordplay. ' female ' becomes ' gal ' (gal is a kind of female**) . ' attending ' says to put letters next to each other. ' gal '+' a '=' GALA ',gala
Mount tailless deer (4),' deer ' is the definition. (stag is a kind of deer) ' mount tailless ' is the wordplay. ' mount ' becomes ' stage '  . ' tailless ' means to remove the last letter. ' stag e ' with its final letter taken away is ' STAG '.,stag
Absence of marines is what one expects (4),' what one expects ' is the definition. ' absence of marines ' is the wordplay. ' absence of ' becomes ' no '. ' marines ' becomes ' rm ' (abbreviation for 'Royal Marines') . ' no '+' rm '=' NORM ' ' is ' acts as a link.,norm
Single call to arms not entirely hard to deliver? (7),' hard to deliver? ' is the definition. ' single call to arms not entirely ' is the wordplay. ' single ' becomes ' one '  . ' call to arms ' becomes ' rouse '. ' not entirely ' means to remove the last letter. ' rous e ' with its final letter removed is ' rous '. ' one '+' rous '=' ONEROUS ',onerous
"I see you said, not long ago, to follow skill with eloquence (12)","' with eloquence ' is the definition. ('articulately' can be a synonym of 'with eloquence') ' i see you said not long ago to follow skill ' is the wordplay. ' see ' becomes ' c ' (the word for the letter, according to Chambers) . ' said ' shows a homophone (sound like). ' not long ago ' becomes ' lately '  . ' to follow ' says to put letters next to each other. ' skill ' becomes ' art '  . ' you ' sounds like ' u '. ' i '+' c '+' u '+' lately '=' iculately ' ' iculately ' after ' art ' is ' ARTICULATELY '.",articulately
The French bilge is possibly quite readable (7),' quite readable ' is the definition. ' legible ' can be an answer for ' readable ' ('legible' can be similar in meaning to 'readable') . I am not certain of the ' quite ' bit. ' the french bilge is possibly ' is the wordplay. ' the french ' becomes ' le '. ' is possibly ' indicates an anagram. ' bilge ' is an anagram of ' gible '. ' le '+' gible '=' LEGIBLE ',legible
"Calls for fool to receive smack, finally (4)",' calls for ' is the definition. ('ask' can be a synonym of 'call for') ' fool to receive smack finally ' is the wordplay. ' fool ' becomes ' ass ' (ass is a kind of fool**) . ' to receive ' indicates putting letters inside. ' finally ' says to take the final letters. The last letter of ' smac k ' is ' k '. ' ass ' going around ' k ' is ' ASKS '.,asks
Fancy being with that man (4),' fancy ' is the definition.  ' with that man ' is the wordplay. ' with ' becomes ' w ' (abbreviation) . ' that man ' becomes ' him '  . ' w '+' him '=' WHIM ' ' being ' is the link.,whim
Wrong one can upset member of the clergy (10),' wrong ' is the definition.  ' one can upset member of the clergy ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' upset ' shows that the letters should be reversed in order. ' member of the clergy ' becomes ' curate '  . ' can ' written backwards gives ' nac '. ' i '+' nac '+' curate '=' INACCURATE ',inaccurate
